PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 31-08,JULIANNE E. MURRAY,Republican Party,178,39.38 %
Election District 31-09,KATHY JENNINGS,Democratic Party,249,59 %
Election District 31-09,JULIANNE E. MURRAY,Republican Party,173,41 %
Election District 31-10,KATHY JENNINGS,Democratic Party,295,59 %
Election District 31-10,JULIANNE E. MURRAY,Republican Party,205,41 %
Election District 32-01,KATHY JENNINGS,Democratic Party,324,68.21 %
Election District 32-01,JULIANNE E. MURRAY,Republican Party,151,31.79 %
Election District 32-02,KATHY JENNINGS,Democratic Party,141,54.44 %
Election District 32-02,JULIANNE E. MURRAY,Republican Party,118,45.56 %
Election District 32-03,KATHY JENNINGS,Democratic Party,293,57 %
Election District 32-03,JULIANNE E. MURRAY,Republican Party,221,43 %
Election District 32-04,KATHY JENNINGS,Democratic Party,144,66.06 %
Election District 32-04,JULIANNE E. MURRAY,Republican Party,74,33.94 %
Election District 32-05,KATHY JENNINGS,Democratic Party,309,50.33 %
Election District 32-05,JULIANNE E. MURRAY,Republican Party,305,49.67 %
Election District 32-06,KATHY JENNINGS,Democratic Party,46,36.22 %
Election District 32-06,JULIANNE E. MURRAY,Republican Party,81,63.78 %
Election District 32-07,KATHY JENNINGS,Democratic Party,160,56.74 %
Election District 32-07,JULIANNE E. MURRAY,Republican Party,122,43.26 %
Election District 32-08,KATHY JENNINGS,Democratic Party,69,90.79 %
Election District 32-08,JULIANNE E. MURRAY,Republican Party,7,9.21 %
Election District 32-09,KATHY JENNINGS,Democratic Party,99,52.38 %
Election District 32-09,JULIANNE E. MURRAY,Republican Party,90,47.62 %
Election District 32-10,KATHY JENNINGS,Democratic Party,325,58.56 %
Election District 32-10,JULIANNE E. MURRAY,Republican Party,230,41.44 %
Election District 32-11,KATHY JENNINGS,Democratic Party,428,51.01 %
Election District 32-11,JULIANNE E. MURRAY,Republican Party,411,48.99 %
Election District 32-12,KATHY JENNINGS,Democratic Party,359,77.04 %
Election District 32-12,JULIANNE E. MURRAY,Republican Party,107,22.96 %
Election District 33-01,KATHY JENNINGS,Democratic Party,137,46.76 %
Election District 33-01,JULIANNE E. MURRAY,Republican Party,156,53.24 %
Election District 33-02,KATHY JENNINGS,Democratic Party,281,42.64 %
Election District 33-02,JULIANNE E. MURRAY,Republican Party,378,57.36 %
Election District 33-03,KATHY JENNINGS,Democratic Party,404,37.3 %
Election District 33-03,JULIANNE E. MURRAY,Republican Party,679,62.7 %
Election District 33-04,KATHY JENNINGS,Democratic Party,367,35.87 %
Election District 33-04,JULIANNE E. MURRAY,Republican Party,656,64.13 %
Election District 33-05,KATHY JENNINGS,Democratic Party,445,43.97 %
Election District 33-05,JULIANNE E. MURRAY,Republican Party,567,56.03 %
Election District 33-06,KATHY JENNINGS,Democratic Party,48,25.81 %
Election District 33-06,JULIANNE E. MURRAY,Republican Party,138,74.19 %
Election District 33-07,KATHY JENNINGS,Democratic Party,135,22.06 %
Election District 33-07,JULIANNE E. MURRAY,Republican Party,477,77.94 %
Election District 33-08,KATHY JENNINGS,Democratic Party,372,48.31 %
Election District 33-08,JULIANNE E. MURRAY,Republican Party,398,51.69 %
Election District 33-09,KATHY JENNINGS,Democratic Party,224,29.63 %
Election District 33-09,JULIANNE E. MURRAY,Republican Party,532,70.37 %
Election District 33-10,KATHY JENNINGS,Democratic Party,114,27.4 %
Election District 33-10,JULIANNE E. MURRAY,Republican Party,302,72.6 %
Election District 33-11,KATHY JENNINGS,Democratic Party,101,27.15 %
Election District 33-11,JULIANNE E. MURRAY,Republican Party,271,72.85 %
Election District 33-12,KATHY JENNINGS,Democratic Party,229,35.5 %
Election District 33-12,JULIANNE E. MURRAY,Republican Party,416,64.5 %
Election District 34-01,KATHY JENNINGS,Democratic Party,481,52.11 %
Election District 34-01,JULIANNE E. MURRAY,Republican Party,442,47.89 %
Election District 34-02,KATHY JENNINGS,Democratic Party,147,40.16 %
Election District 34-02,JULIANNE E. MURRAY,Republican Party,219,59.84 %
Election District 34-03,KATHY JENNINGS,Democratic Party,546,52.3 %
Election District 34-03,JULIANNE E. MURRAY,Republican Party,498,47.7 %
Election District 34-04,KATHY JENNINGS,Democratic Party,112,33.04 %
Election District 34-04,JULIANNE E. MURRAY,Republican Party,227,66.96 %
Election District 34-05,KATHY JENNINGS,Democratic Party,389,44.2 %
Election District 34-05,JULIANNE E. MURRAY,Republican Party,491,55.8 %
Election District 34-06,KATHY JENNINGS,Democratic Party,198,37.36 %
Election District 34-06,JULIANNE E. MURRAY,Republican Party,332,62.64 %
Election District 34-07,KATHY JENNINGS,Democratic Party,235,39.83 %
Election District 34-07,JULIANNE E. MURRAY,Republican Party,355,60.17 %
Election District 34-08,KATHY JENNINGS,Democratic Party,498,45.31 %
Election District 34-08,JULIANNE E. MURRAY,Republican Party,601,54.69 %
Election District 34-09,KATHY JENNINGS,Democratic Party,518,52.8 %
Election District 34-09,JULIANNE E. MURRAY,Republican Party,463,47.2 %
Election District 34-10,KATHY JENNINGS,Democratic Party,225,38.07 %
Election District 34-10,JULIANNE E. MURRAY,Republican Party,366,61.93 %
Election District 34-11,KATHY JENNINGS,Democratic Party,491,52.85 %
Election District 34-11,JULIANNE E. MURRAY,Republican Party,438,47.15 %
Election District 35-01,KATHY JENNINGS,Democratic Party,193,23.09 %
Election District 35-01,JULIANNE E. MURRAY,Republican Party,643,76.91 %
Election District 35-02,KATHY JENNINGS,Democratic Party,123,22.32 %
Election District 35-02,JULIANNE E. MURRAY,Republican Party,428,77.68 %
Election District 35-03,KATHY JENNINGS,Democratic Party,258,36.7 %
Election District 35-03,JULIANNE E. MURRAY,Republican Party,445,63.3 %
Election District 35-04,KATHY JENNINGS,Democratic Party,156,37.59 %
Election District 35-04,JULIANNE E. MURRAY,Republican Party,259,62.41 %
Election District 35-05,KATHY JENNINGS,Democratic Party,228,35.96 %
Election District 35-05,JULIANNE E. MURRAY,Republican Party,406,64.04 %
Election District 35-06,KATHY JENNINGS,Democratic Party,109,20.57 %
Election District 35-06,JULIANNE E. MURRAY,Republican Party,421,79.43 %
Election District 35-07,KATHY JENNINGS,Democratic Party,193,24.19 %
Election District 35-07,JULIANNE E. MURRAY,Republican Party,605,75.81 %
Election District 35-08,KATHY JENNINGS,Democratic Party,154,18.27 %
Election District 35-08,JULIANNE E. MURRAY,Republican Party,689,81.73 %
Election District 35-09,KATHY JENNINGS,Democratic Party,629,40.37 %
Election District 35-09,JULIANNE E. MURRAY,Republican Party,929,59.63 %
Election District 35-10,KATHY JENNINGS,Democratic Party,24,30.38 %
Election District 35-10,JULIANNE E. MURRAY,Republican Party,55,69.62 %
Election District 35-11,KATHY JENNINGS,Democratic Party,18,13.14 %
Election District 35-11,JULIANNE E. MURRAY,Republican Party,119,86.86 %
Election District 35-12,KATHY JENNINGS,Democratic Party,51,39.53 %
Election District 35-12,JULIANNE E. MURRAY,Republican Party,78,60.47 %
Election District 36-01,KATHY JENNINGS,Democratic Party,420,43.93 %
Election District 36-01,JULIANNE E. MURRAY,Republican Party,536,56.07 %
Election District 36-02,KATHY JENNINGS,Democratic Party,353,32.12 %
Election District 36-02,JULIANNE E. MURRAY,Republican Party,746,67.88 %
Election District 36-03,KATHY JENNINGS,Democratic Party,571,45.53 %
Election District 36-03,JULIANNE E. MURRAY,Republican Party,683,54.47 %
Election District 36-04,KATHY JENNINGS,Democratic Party,386,37.51 %
Election District 36-04,JULIANNE E. MURRAY,Republican Party,643,62.49 %
Election District 36-05,KATHY JENNINGS,Democratic Party,139,32.1 %
Election District 36-05,JULIANNE E. MURRAY,Republican Party,294,67.9 %
Election District 36-06,KATHY JENNINGS,Democratic Party,351,33.27 %
Election District 36-06,JULIANNE E. MURRAY,Republican Party,704,66.73 %
Election District 36-07,KATHY JENNINGS,Democratic Party,197,41.47 %
Election District 36-07,JULIANNE E. MURRAY,Republican Party,278,58.53 %
Election District 36-08,KATHY JENNINGS,Democratic Party,240,36.75 %
Election District 36-08,JULIANNE E. MURRAY,Republican Party,413,63.25 %
Election District 36-09,KATHY JENNINGS,Democratic Party,24,17.52 %
Election District 36-09,JULIANNE E. MURRAY,Republican Party,113,82.48 %
Election District 36-10,KATHY JENNINGS,Democratic Party,362,42.04 %
Election District 36-10,JULIANNE E. MURRAY,Republican Party,499,57.96 %
Election District 37-01,KATHY JENNINGS,Democratic Party,372,46.79 %
Election District 37-01,JULIANNE E. MURRAY,Republican Party,423,53.21 %
Election District 37-02,KATHY JENNINGS,Democratic Party,344,32.3 %
Election District 37-02,JULIANNE E. MURRAY,Republican Party,721,67.7 %
Election District 37-03,KATHY JENNINGS,Democratic Party,620,40.76 %
Election District 37-03,JULIANNE E. MURRAY,Republican Party,901,59.24 %
Election District 37-04,KATHY JENNINGS,Democratic Party,380,34.27 %
Election District 37-04,JULIANNE E. MURRAY,Republican Party,729,65.73 %
Election District 37-05,KATHY JENNINGS,Democratic Party,138,24.13 %
Election District 37-05,JULIANNE E. MURRAY,Republican Party,434,75.87 %
Election District 37-06,KATHY JENNINGS,Democratic Party,671,46.09 %
Election District 37-06,JULIANNE E. MURRAY,Republican Party,785,53.91 %
Election District 37-07,KATHY JENNINGS,Democratic Party,324,35.29 %
Election District 37-07,JULIANNE E. MURRAY,Republican Party,594,64.71 %
Election District 37-08,KATHY JENNINGS,Democratic Party,23,23 %
Election District 37-08,JULIANNE E. MURRAY,Republican Party,77,77 %
Election District 37-09,KATHY JENNINGS,Democratic Party,81,37.5 %
Election District 37-09,JULIANNE E. MURRAY,Republican Party,135,62.5 %
Election District 38-01,KATHY JENNINGS,Democratic Party,412,36.43 %
Election District 38-01,JULIANNE E. MURRAY,Republican Party,719,63.57 %
Election District 38-02,KATHY JENNINGS,Democratic Party,753,42.57 %
Election District 38-02,JULIANNE E. MURRAY,Republican Party,"1,016",57.43 %
Election District 38-03,KATHY JENNINGS,Democratic Party,465,41.19 %
Election District 38-03,JULIANNE E. MURRAY,Republican Party,664,58.81 %
Election District 38-04,KATHY JENNINGS,Democratic Party,908,48.92 %
Election District 38-04,JULIANNE E. MURRAY,Republican Party,948,51.08 %
Election District 38-05,KATHY JENNINGS,Democratic Party,484,38.57 %
Election District 38-05,JULIANNE E. MURRAY,Republican Party,771,61.43 %
Election District 38-06,KATHY JENNINGS,Democratic Party,450,33.04 %
Election District 38-06,JULIANNE E. MURRAY,Republican Party,912,66.96 %
Election District 38-07,KATHY JENNINGS,Democratic Party,698,41.9 %
Election District 38-07,JULIANNE E. MURRAY,Republican Party,968,58.1 %
Election District 38-08,KATHY JENNINGS,Democratic Party,310,35.15 %
Election District 38-08,JULIANNE E. MURRAY,Republican Party,572,64.85 %
Election District 38-09,KATHY JENNINGS,Democratic Party,517,43.59 %
Election District 38-09,JULIANNE E. MURRAY,Republican Party,669,56.41 %
Election District 38-10,KATHY JENNINGS,Democratic Party,510,34.58 %
Election District 38-10,JULIANNE E. MURRAY,Republican Party,965,65.42 %
Election District 38-11,KATHY JENNINGS,Democratic Party,597,41.95 %
Election District 38-11,JULIANNE E. MURRAY,Republican Party,826,58.05 %
Election District 39-01,KATHY JENNINGS,Democratic Party,119,20.34 %
Election District 39-01,JULIANNE E. MURRAY,Republican Party,466,79.66 %
Election District 39-02,KATHY JENNINGS,Democratic Party,353,39.62 %
Election District 39-02,JULIANNE E. MURRAY,Republican Party,538,60.38 %
Election District 39-03,KATHY JENNINGS,Democratic Party,338,33.5 %
Election District 39-03,JULIANNE E. MURRAY,Republican Party,671,66.5 %
Election District 39-04,KATHY JENNINGS,Democratic Party,301,43.62 %
Election District 39-04,JULIANNE E. MURRAY,Republican Party,389,56.38 %
Election District 39-05,KATHY JENNINGS,Democratic Party,291,25.94 %
Election District 39-05,JULIANNE E. MURRAY,Republican Party,831,74.06 %
Election District 39-06,KATHY JENNINGS,Democratic Party,264,29.93 %
Election District 39-06,JULIANNE E. MURRAY,Republican Party,618,70.07 %
Election District 39-07,KATHY JENNINGS,Democratic Party,137,32.24 %
Election District 39-07,JULIANNE E. MURRAY,Republican Party,288,67.76 %
Election District 39-08,KATHY JENNINGS,Democratic Party,135,41.28 %
Election District 39-08,JULIANNE E. MURRAY,Republican Party,192,58.72 %
Election District 39-09,KATHY JENNINGS,Democratic Party,42,21.21 %
Election District 39-09,JULIANNE E. MURRAY,Republican Party,156,78.79 %
Election District 40-01,KATHY JENNINGS,Democratic Party,179,27.75 %
Election District 40-01,JULIANNE E. MURRAY,Republican Party,466,72.25 %
Election District 40-02,KATHY JENNINGS,Democratic Party,232,19.32 %
Election District 40-02,JULIANNE E. MURRAY,Republican Party,969,80.68 %
Election District 40-03,KATHY JENNINGS,Democratic Party,249,47.16 %
Election District 40-03,JULIANNE E. MURRAY,Republican Party,279,52.84 %
Election District 40-04,KATHY JENNINGS,Democratic Party,218,20.11 %
Election District 40-04,JULIANNE E. MURRAY,Republican Party,866,79.89 %
Election District 40-05,KATHY JENNINGS,Democratic Party,238,29.06 %
Election District 40-05,JULIANNE E. MURRAY,Republican Party,581,70.94 %
Election District 40-06,KATHY JENNINGS,Democratic Party,181,19.8 %
Election District 40-06,JULIANNE E. MURRAY,Republican Party,733,80.2 %
Election District 40-07,KATHY JENNINGS,Democratic Party,244,28.84 %
Election District 40-07,JULIANNE E. MURRAY,Republican Party,602,71.16 %
Election District 40-08,KATHY JENNINGS,Democratic Party,116,22.14 %
Election District 40-08,JULIANNE E. MURRAY,Republican Party,408,77.86 %
Election District 41-01,KATHY JENNINGS,Democratic Party,64,11.35 %
Election District 41-01,JULIANNE E. MURRAY,Republican Party,500,88.65 %
Election District 41-02,KATHY JENNINGS,Democratic Party,182,23.04 %
Election District 41-02,JULIANNE E. MURRAY,Republican Party,608,76.96 %
Election District 41-03,KATHY JENNINGS,Democratic Party,56,23.83 %
Election District 41-03,JULIANNE E. MURRAY,Republican Party,179,76.17 %
Election District 41-04,KATHY JENNINGS,Democratic Party,236,30.06 %
Election District 41-04,JULIANNE E. MURRAY,Republican Party,549,69.94 %
Election District 41-05,KATHY JENNINGS,Democratic Party,363,41.82 %
Election District 41-05,JULIANNE E. MURRAY,Republican Party,505,58.18 %
Election District 41-06,KATHY JENNINGS,Democratic Party,378,29.17 %
Election District 41-06,JULIANNE E. MURRAY,Republican Party,918,70.83 %
Election District 41-07,KATHY JENNINGS,Democratic Party,214,30.23 %
Election District 41-07,JULIANNE E. MURRAY,Republican Party,494,69.77 %
Election District 41-08,KATHY JENNINGS,Democratic Party,604,42.27 %
Election District 41-08,JULIANNE E. MURRAY,Republican Party,825,57.73 %
Election District 41-09,KATHY JENNINGS,Democratic Party,220,42.72 %
Election District 41-09,JULIANNE E. MURRAY,Republican Party,295,57.28 %
Election District 41-10,KATHY JENNINGS,Democratic Party,296,29.45 %
Election District 41-10,JULIANNE E. MURRAY,Republican Party,709,70.55 %
Election District 41-11,KATHY JENNINGS,Democratic Party,329,28.58 %
Election District 41-11,JULIANNE E. MURRAY,Republican Party,822,71.42 %
Election District 01-01,LYDIA YORK,Democratic Party,453,90.24 %
Election District 01-01,JANICE LORRAH,Republican Party,49,9.76 %
Election District 01-02,LYDIA YORK,Democratic Party,540,94.24 %
Election District 01-02,JANICE LORRAH,Republican Party,33,5.76 %
Election District 01-03,LYDIA YORK,Democratic Party,291,96.68 %
Election District 01-03,JANICE LORRAH,Republican Party,10,3.32 %
Election District 01-04,LYDIA YORK,Democratic Party,411,93.84 %
Election District 01-04,JANICE LORRAH,Republican Party,27,6.16 %
Election District 01-05,LYDIA YORK,Democratic Party,679,84.14 %
Election District 01-05,JANICE LORRAH,Republican Party,128,15.86 %
Election District 01-06,LYDIA YORK,Democratic Party,181,96.79 %
Election District 01-06,JANICE LORRAH,Republican Party,6,3.21 %
Election District 01-07,LYDIA YORK,Democratic Party,91,91 %
Election District 01-07,JANICE LORRAH,Republican Party,9,9 %
Election District 01-08,LYDIA YORK,Democratic Party,635,79.28 %
Election District 01-08,JANICE LORRAH,Republican Party,166,20.72 %
Election District 01-09,LYDIA YORK,Democratic Party,510,89.32 %
Election District 01-09,JANICE LORRAH,Republican Party,61,10.68 %
Election District 01-10,LYDIA YORK,Democratic Party,401,97.8 %
Election District 01-10,JANICE LORRAH,Republican Party,9,2.2 %
Election District 01-11,LYDIA YORK,Democratic Party,354,93.16 %
Election District 01-11,JANICE LORRAH,Republican Party,26,6.84 %
Election District 01-12,LYDIA YORK,Democratic Party,63,84 %
Election District 01-12,JANICE LORRAH,Republican Party,12,16 %
Election District 01-13,LYDIA YORK,Democratic Party,464,84.67 %
Election District 01-13,JANICE LORRAH,Republican Party,84,15.33 %
Election District 01-14,LYDIA YORK,Democratic Party,378,84.94 %
Election District 01-14,JANICE LORRAH,Republican Party,67,15.06 %
Election District 01-15,LYDIA YORK,Democratic Party,5,83.33 %
Election District 01-15,JANICE LORRAH,Republican Party,1,16.67 %
Election District 01-16,LYDIA YORK,Democratic Party,19,73.08 %
Election District 01-16,JANICE LORRAH,Republican Party,7,26.92 %
Election District 01-17,LYDIA YORK,Democratic Party,0,0 %
Election District 01-17,JANICE LORRAH,Republican Party,0,0 %
Election District 02-01,LYDIA YORK,Democratic Party,141,94.63 %
Election District 02-01,JANICE LORRAH,Republican Party,8,5.37 %
Election District 02-02,LYDIA YORK,Democratic Party,174,92.06 %
Election District 02-02,JANICE LORRAH,Republican Party,15,7.94 %
Election District 02-03,LYDIA YORK,Democratic Party,75,77.32 %
Election District 02-03,JANICE LORRAH,Republican Party,22,22.68 %
Election District 02-04,LYDIA YORK,Democratic Party,216,89.26 %
Election District 02-04,JANICE LORRAH,Republican Party,26,10.74 %
Election District 02-05,LYDIA YORK,Democratic Party,137,81.55 %
Election District 02-05,JANICE LORRAH,Republican Party,31,18.45 %
Election District 02-06,LYDIA YORK,Democratic Party,259,93.17 %
Election District 02-06,JANICE LORRAH,Republican Party,19,6.83 %
Election District 02-07,LYDIA YORK,Democratic Party,327,64.24 %
Election District 02-07,JANICE LORRAH,Republican Party,182,35.76 %
Election District 02-08,LYDIA YORK,Democratic Party,264,87.71 %
Election District 02-08,JANICE LORRAH,Republican Party,37,12.29 %
Election District 02-09,LYDIA YORK,Democratic Party,222,94.87 %
Election District 02-09,JANICE LORRAH,Republican Party,12,5.13 %
Election District 02-10,LYDIA YORK,Democratic Party,163,93.14 %
Election District 02-10,JANICE LORRAH,Republican Party,12,6.86 %
Election District 02-11,LYDIA YORK,Democratic Party,293,94.52 %
Election District 02-11,JANICE LORRAH,Republican Party,17,5.48 %
Election District 02-12,LYDIA YORK,Democratic Party,85,73.91 %
Election District 02-12,JANICE LORRAH,Republican Party,30,26.09 %
Election District 02-13,LYDIA YORK,Democratic Party,41,87.23 %
Election District 02-13,JANICE LORRAH,Republican Party,6,12.77 %
Election District 02-14,LYDIA YORK,Democratic Party,34,77.27 %
Election District 02-14,JANICE LORRAH,Republican Party,10,22.73 %
Election District 02-15,LYDIA YORK,Democratic Party,37,84.09 %
Election District 02-15,JANICE LORRAH,Republican Party,7,15.91 %
Election District 02-16,LYDIA YORK,Democratic Party,318,92.71 %
Election District 02-16,JANICE LORRAH,Republican Party,25,7.29 %
Election District 02-17,LYDIA YORK,Democratic Party,163,93.68 %
Election District 02-17,JANICE LORRAH,Republican Party,11,6.32 %
Election District 02-18,LYDIA YORK,Democratic Party,34,85 %
Election District 02-18,JANICE LORRAH,Republican Party,6,15 %
Election District 02-19,LYDIA YORK,Democratic Party,4,100 %
Election District 02-19,JANICE LORRAH,Republican Party,0,0 %
Election District 02-20,LYDIA YORK,Democratic Party,9,100 %
Election District 02-20,JANICE LORRAH,Republican Party,0,0 %
Election District 02-21,LYDIA YORK,Democratic Party,3,100 %
Election District 02-21,JANICE LORRAH,Republican Party,0,0 %
Election District 02-22,LYDIA YORK,Democratic Party,0,0 %
Election District 02-22,JANICE LORRAH,Republican Party,0,0 %
Election District 02-23,LYDIA YORK,Democratic Party,0,0 %
Election District 02-23,JANICE LORRAH,Republican Party,0,0 %
Election District 03-01,LYDIA YORK,Democratic Party,211,92.54 %
Election District 03-01,JANICE LORRAH,Republican Party,17,7.46 %
Election District 03-02,LYDIA YORK,Democratic Party,476,76.53 %
Election District 03-02,JANICE LORRAH,Republican Party,146,23.47 %
Election District 03-03,LYDIA YORK,Democratic Party,295,82.87 %
Election District 03-03,JANICE LORRAH,Republican Party,61,17.13 %
Election District 03-04,LYDIA YORK,Democratic Party,294,94.84 %
Election District 03-04,JANICE LORRAH,Republican Party,16,5.16 %
Election District 03-05,LYDIA YORK,Democratic Party,329,87.73 %
Election District 03-05,JANICE LORRAH,Republican Party,46,12.27 %
Election District 03-06,LYDIA YORK,Democratic Party,77,90.59 %
Election District 03-06,JANICE LORRAH,Republican Party,8,9.41 %
Election District 03-07,LYDIA YORK,Democratic Party,285,86.36 %
Election District 03-07,JANICE LORRAH,Republican Party,45,13.64 %
Election District 03-08,LYDIA YORK,Democratic Party,338,73.48 %
Election District 03-08,JANICE LORRAH,Republican Party,122,26.52 %
Election District 03-09,LYDIA YORK,Democratic Party,343,89.09 %
Election District 03-09,JANICE LORRAH,Republican Party,42,10.91 %
Election District 03-10,LYDIA YORK,Democratic Party,117,69.64 %
Election District 03-10,JANICE LORRAH,Republican Party,51,30.36 %
Election District 03-11,LYDIA YORK,Democratic Party,101,78.91 %
Election District 03-11,JANICE LORRAH,Republican Party,27,21.09 %
Election District 03-12,LYDIA YORK,Democratic Party,31,73.81 %
Election District 03-12,JANICE LORRAH,Republican Party,11,26.19 %
Election District 03-13,LYDIA YORK,Democratic Party,28,73.68 %
Election District 03-13,JANICE LORRAH,Republican Party,10,26.32 %
Election District 03-14,LYDIA YORK,Democratic Party,87,67.97 %
Election District 03-14,JANICE LORRAH,Republican Party,41,32.03 %
Election District 04-01,LYDIA YORK,Democratic Party,459,45.45 %
Election District 04-01,JANICE LORRAH,Republican Party,551,54.55 %
Election District 04-02,LYDIA YORK,Democratic Party,572,48.89 %
Election District 04-02,JANICE LORRAH,Republican Party,598,51.11 %
Election District 04-03,LYDIA YORK,Democratic Party,451,46.16 %
Election District 04-03,JANICE LORRAH,Republican Party,526,53.84 %
Election District 04-04,LYDIA YORK,Democratic Party,917,43.85 %
Election District 04-04,JANICE LORRAH,Republican Party,"1,174",56.15 %
Election District 04-05,LYDIA YORK,Democratic Party,412,34.8 %
Election District 04-05,JANICE LORRAH,Republican Party,772,65.2 %
Election District 04-06,LYDIA YORK,Democratic Party,304,38.83 %
Election District 04-06,JANICE LORRAH,Republican Party,479,61.17 %
Election District 04-07,LYDIA YORK,Democratic Party,219,35.49 %
Election District 04-07,JANICE LORRAH,Republican Party,398,64.51 %
Election District 04-08,LYDIA YORK,Democratic Party,432,43.68 %
Election District 04-08,JANICE LORRAH,Republican Party,557,56.32 %
Election District 04-09,LYDIA YORK,Democratic Party,763,40.39 %
Election District 04-09,JANICE LORRAH,Republican Party,"1,126",59.61 %
Election District 04-10,LYDIA YORK,Democratic Party,178,41.01 %
Election District 04-10,JANICE LORRAH,Republican Party,256,58.99 %
Election District 04-11,LYDIA YORK,Democratic Party,155,41.44 %
Election District 04-11,JANICE LORRAH,Republican Party,219,58.56 %
Election District 05-01,LYDIA YORK,Democratic Party,605,76.87 %
Election District 05-01,JANICE LORRAH,Republican Party,182,23.13 %
Election District 05-02,LYDIA YORK,Democratic Party,221,66.77 %
Election District 05-02,JANICE LORRAH,Republican Party,110,33.23 %
Election District 05-03,LYDIA YORK,Democratic Party,294,78.19 %
Election District 05-03,JANICE LORRAH,Republican Party,82,21.81 %
Election District 05-04,LYDIA YORK,Democratic Party,366,86.52 %
Election District 05-04,JANICE LORRAH,Republican Party,57,13.48 %
Election District 05-05,LYDIA YORK,Democratic Party,448,88.89 %
Election District 05-05,JANICE LORRAH,Republican Party,56,11.11 %
Election District 05-06,LYDIA YORK,Democratic Party,467,81.93 %
Election District 05-06,JANICE LORRAH,Republican Party,103,18.07 %
Election District 05-07,LYDIA YORK,Democratic Party,343,80.52 %
Election District 05-07,JANICE LORRAH,Republican Party,83,19.48 %
Election District 05-08,LYDIA YORK,Democratic Party,699,71.25 %
Election District 05-08,JANICE LORRAH,Republican Party,282,28.75 %
Election District 05-09,LYDIA YORK,Democratic Party,285,82.13 %
Election District 05-09,JANICE LORRAH,Republican Party,62,17.87 %
Election District 05-10,LYDIA YORK,Democratic Party,369,87.65 %
Election District 05-10,JANICE LORRAH,Republican Party,52,12.35 %
Election District 05-11,LYDIA YORK,Democratic Party,55,70.51 %
Election District 05-11,JANICE LORRAH,Republican Party,23,29.49 %
Election District 06-01,LYDIA YORK,Democratic Party,421,64.18 %
Election District 06-01,JANICE LORRAH,Republican Party,235,35.82 %
Election District 06-02,LYDIA YORK,Democratic Party,535,59.44 %
Election District 06-02,JANICE LORRAH,Republican Party,365,40.56 %
Election District 06-03,LYDIA YORK,Democratic Party,131,59.82 %
Election District 06-03,JANICE LORRAH,Republican Party,88,40.18 %
Election District 06-04,LYDIA YORK,Democratic Party,429,71.86 %
Election District 06-04,JANICE LORRAH,Republican Party,168,28.14 %
Election District 06-05,LYDIA YORK,Democratic Party,374,78.74 %
Election District 06-05,JANICE LORRAH,Republican Party,101,21.26 %
Election District 06-06,LYDIA YORK,Democratic Party,603,72.22 %
Election District 06-06,JANICE LORRAH,Republican Party,232,27.78 %
Election District 06-07,LYDIA YORK,Democratic Party,456,61.29 %
Election District 06-07,JANICE LORRAH,Republican Party,288,38.71 %
Election District 06-08,LYDIA YORK,Democratic Party,337,66.21 %
Election District 06-08,JANICE LORRAH,Republican Party,172,33.79 %
Election District 06-09,LYDIA YORK,Democratic Party,662,69.25 %
Election District 06-09,JANICE LORRAH,Republican Party,294,30.75 %
Election District 06-10,LYDIA YORK,Democratic Party,568,63.18 %
Election District 06-10,JANICE LORRAH,Republican Party,331,36.82 %
Election District 06-11,LYDIA YORK,Democratic Party,482,62.92 %
Election District 06-11,JANICE LORRAH,Republican Party,284,37.08 %
Election District 06-12,LYDIA YORK,Democratic Party,601,60.65 %
Election District 06-12,JANICE LORRAH,Republican Party,390,39.35 %
Election District 06-13,LYDIA YORK,Democratic Party,408,71.33 %
Election District 06-13,JANICE LORRAH,Republican Party,164,28.67 %
Election District 06-14,LYDIA YORK,Democratic Party,54,71.05 %
Election District 06-14,JANICE LORRAH,Republican Party,22,28.95 %
Election District 06-15,LYDIA YORK,Democratic Party,59,64.13 %
Election District 06-15,JANICE LORRAH,Republican Party,33,35.87 %
Election District 06-16,LYDIA YORK,Democratic Party,0,0 %
Election District 06-16,JANICE LORRAH,Republican Party,0,0 %
Election District 07-01,LYDIA YORK,Democratic Party,328,59.1 %
Election District 07-01,JANICE LORRAH,Republican Party,227,40.9 %
Election District 07-02,LYDIA YORK,Democratic Party,389,71.9 %
Election District 07-02,JANICE LORRAH,Republican Party,152,28.1 %
Election District 07-03,LYDIA YORK,Democratic Party,288,61.67 %
Election District 07-03,JANICE LORRAH,Republican Party,179,38.33 %
Election District 07-04,LYDIA YORK,Democratic Party,402,76.72 %
Election District 07-04,JANICE LORRAH,Republican Party,122,23.28 %
Election District 07-05,LYDIA YORK,Democratic Party,671,75.9 %
Election District 07-05,JANICE LORRAH,Republican Party,213,24.1 %
Election District 07-06,LYDIA YORK,Democratic Party,390,62.5 %
Election District 07-06,JANICE LORRAH,Republican Party,234,37.5 %
Election District 07-07,LYDIA YORK,Democratic Party,469,68.37 %
Election District 07-07,JANICE LORRAH,Republican Party,217,31.63 %
Election District 07-08,LYDIA YORK,Democratic Party,261,62.59 %
Election District 07-08,JANICE LORRAH,Republican Party,156,37.41 %
Election District 07-09,LYDIA YORK,Democratic Party,361,64.46 %
Election District 07-09,JANICE LORRAH,Republican Party,199,35.54 %
